no,query,kode_ground_truth,tipe
1,MENCABUT RUMPUT LIAR DI SAWAH(MATON),01122,KBLI
2,MENCABUT RUMPUT LIAR DI SAWAH(MATON),9211,KBJI
3,MEMBUAT LEMARI KACA/ ETALASE MENGANTAR PESANAN LEMARI KACA,31011,KBLI
4,MEMBUAT LEMARI KACA/ ETALASE MENGANTAR PESANAN LEMARI KACA,7523,KBJI
5,PERTANIAN,01122,KBLI
6,PERTANIAN,9211,KBJI
7,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,47249,KBLI
8,MEMBUAT RESOLES UNTUK DIJUAL DIPASAR KAMPUNG,5212,KBJI
9,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,85316,KBLI
10,MENGAJAR MATA PELAJARAN PKN DI MTS TAHASSUS ALQURAN,2330,KBJI
11,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAIN",16211,KBLI
12,"KARYAWAN BAGIAN PRODUKSI, PEMOTONGAN KAYU SESUAI UKURAN AKHIR DIPABRIK KAYU LAIN",9329,KBJI
13,PERTANIAN PADI,01122,KBLI
14,PERTANIAN PADI,6111,KBJI
15,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,01134,KBLI
16,PERTANIAN BAWANG MERAH HORTIKULTURAL DI SAWAH MILIK ORANG LAIN,9211,KBJI
17,KONTRUKSI RUMAH DI DESA,41011,KBLI
18,KONTRUKSI RUMAH DI DESA,7112,KBJI
19,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,47749,KBLI
20,PERDAGANGAN BARANG BEKAS UNTUK DIJUAL LAGI,5249,KBJI
21,PEDAGANG MOTOR DI RUMAH SENDIRI,47832,KBLI
22,PEDAGANG MOTOR DI RUMAH SENDIRI,5249,KBJI
23,JASA TRANSPORTASI,49231,KBLI
24,JASA TRANSPORTASI,8322,KBJI
25,PENYEDIA BAHAN BAKU MAKANAN,47213,KBLI
26,PENYEDIA BAHAN BAKU MAKANAN,9520,KBJI
27,TUKANG BATU,41011,KBLI
28,TUKANG BATU,7111,KBJI
29,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,01134,KBLI
30,PERTANIAN BAWANG MERAH HORTIKULTURAL SAWAH MILIK ORANG LAIN,9211,KBJI
31,PERTANIAN PADI DI SAWAH MILIK SENDIRI,01122,KBLI
32,PERTANIAN PADI DI SAWAH MILIK SENDIRI,6111,KBJI
33,BURUH (PELAYAN DI TOKO KELONTONG),47112,KBLI
34,BURUH (PELAYAN DI TOKO KELONTONG),5223,KBJI
35,MENCUCI MOTOR DAN MOBIL,81250,KBLI
36,MENCUCI MOTOR DAN MOBIL,9122,KBJI
37,MENJUAL BOTOK PELAS DAN PECEL,56101,KBLI
38,MENJUAL BOTOK PELAS DAN PECEL,5212,KBJI
39,PENYEDIAAN MAKANAN,56210,KBLI
40,PENYEDIAAN MAKANAN,9412,KBJI
41,"BURUH BANGUNAN, MENGADUK SEMEN",41011,KBLI
42,"BURUH BANGUNAN, MENGADUK SEMEN",7111,KBJI
43,MENJUAL ES TEH JUMBO,56303,KBLI
44,MENJUAL ES TEH JUMBO,5223,KBJI
45,JASA ANTAR UNDANGAN ACARA,96900,KBLI
46,JASA ANTAR UNDANGAN ACARA,5169,KBJI
47,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,41011,KBLI
48,JASA KONTRUKSI TUKANG BANGUNAN HARIAN,7111,KBJI
49,PENYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,56102,KBLI
50,PENYEDIA MAKANAN SIOMAY KELILING DENGAN SEPEDA,5212,KBJI
51,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING",41011,KBLI
52,"MENCAMPUR SEMEN, MENGANGKUT MATERIAL, MEMASANG BATA, PLESTER DINDING",7111,KBJI
53,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,16101,KBLI
54,MENGOPERASIKAN DAN MEMPERBAIKI MESIN PRODUKSI DAN PERAWATAN BERKALA,3122,KBJI
55,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,01134,KBLI
56,PERTANIAN BAWANG MERAH MILIK ORANG LAIN,9211,KBJI
57,KONTRUKSI RUMAH,41011,KBLI
58,KONTRUKSI RUMAH,7112,KBJI
59,INDUSTRI AIR ISI ULANG,11052,KBLI
60,INDUSTRI AIR ISI ULANG,8183,KBJI
